ui_name;ingredient;alias;shop;generic_name;original_name;package_weight;unit;price_per_100;price_package;match_type;fuzzy_score;dedup;kcal
almond;almond;whole almonds;aldi;whole almonds;Whole Almonds;200.0;g;0.845;1.69;auto;100.0;;579.0
andouille sausage;andouille sausage;sausages;aldi;sausages;Quorn Sausages;420.0;g;0.5595;2.35;auto;100.0;;310.0
andouille sausage;ground sausage;sausages;aldi;sausages;Quorn Sausages;420.0;g;0.5595;2.35;auto;100.0;shop_sku;332.0
apple;apple;;aldi;apple;Large Bramley Apple;1.0;szt;0.3242;0.59;auto;100.0;;52.0
apple cider;apple cider;;aldi;apple cider vinegar;Organic Apple Cider Vinegar;500.0;ml;0.438;2.19;auto;100.0;;21.0
apple cider;apple cider vinegar;;aldi;apple cider vinegar;Organic Apple Cider Vinegar;500.0;ml;0.438;2.19;auto;100.0;shop_sku;21.0
applesauce;applesauce;apple sauce;aldi;apple sauce;Bramley Apple Sauce;270.0;g;0.2407;0.65;auto;100.0;;68.0
avocado;avocado;;aldi;avocado;Avocado;500.0;g;0.29;1.45;auto;100.0;;160.0
avocado;avocado oil;;aldi;avocado;Avocado;500.0;g;0.29;1.45;auto;100.0;shop_sku;160.0
avocado;avocado oil spray;;aldi;avocado;Avocado;500.0;g;0.29;1.45;auto;100.0;shop_sku;160.0
baby corn;baby corn;;aldi;corn;Baby Corn;145.0;g;0.7517;1.09;auto;100.0;;86.0
baby corn;corn;;aldi;corn;Baby Corn;145.0;g;0.7517;1.09;auto;100.0;shop_sku;86.0
baby corn;corn starch;;aldi;corn;Baby Corn;145.0;g;0.7517;1.09;auto;100.0;shop_sku;86.0
baby corn;sweet corn;;aldi;corn;Baby Corn;145.0;g;0.7517;1.09;auto;100.0;shop_sku;86.0
baby red potatoes;baby red potatoes;;aldi;red potatoes;British Red Potatoes;2500.0;g;0.078;1.95;auto;100.0;;70.0
baby red potatoes;red potato;;aldi;red potatoes;British Red Potatoes;2500.0;g;0.078;1.95;auto;100.0;shop_sku;70.0
baby red potatoes;red potatoes;;aldi;red potatoes;British Red Potatoes;2500.0;g;0.078;1.95;auto;100.0;shop_sku;70.0
baby spinach;baby spinach;;aldi;spinach;British Baby Spinach;450.0;g;0.3533;1.59;auto;100.0;;23.0
baby spinach;spinach;;aldi;spinach;British Baby Spinach;450.0;g;0.3533;1.59;auto;100.0;shop_sku;23.0
baby spinach;spinach tortilla;;aldi;spinach;British Baby Spinach;450.0;g;0.3533;1.59;auto;100.0;shop_sku;23.0
baby spinach;spinach wrap;;aldi;spinach;British Baby Spinach;450.0;g;0.3533;1.59;auto;100.0;shop_sku;23.0
bacon;bacon;;aldi;bacon lardons;Smoked Bacon Lardons;200.0;g;0.895;1.79;auto;100.0;;541.0
baking powder;baking powder;;aldi;baking powder;Baking Powder;200.0;g;0.325;0.65;auto;100.0;;53.0
balsamic vinegar;balsamic vinegar;;aldi;balsamic vinegar of modena;Balsamic Vinegar of Modena;500.0;ml;0.298;1.49;auto;100.0;;88.0
banan;banana;;aldi;banana;Banana;1.0;szt;0.1333;0.16;auto;100.0;;89.0
basil;basil;;aldi;basil;Basil;15.0;g;5.0;0.75;auto;100.0;;44.0
basil;dried basil;;aldi;basil;Basil;15.0;g;5.0;0.75;auto;100.0;shop_sku;44.0
basil;thai basil;;aldi;basil;Basil;15.0;g;5.0;0.75;auto;100.0;shop_sku;44.0
basmati rice;basmati rice;;aldi;basmati rice;Basmati Rice;1000.0;g;0.179;1.79;auto;100.0;;357.0
bay leaf;bay leaf;;aldi;bay leaf;Bay Leaf;2.0;g;24.5;0.49;auto;100.0;;313.0
bbq sauce;bbq sauce;;aldi;bbq sauce;BBQ Sauce;460.0;g;0.163;0.75;auto;100.0;;135.0
bbq sauce;korean bbq sauce;;aldi;bbq sauce;BBQ Sauce;460.0;g;0.163;0.75;auto;100.0;shop_sku;135.0
beef;beef;beef steak;aldi;beef steak;100% British Beef Wagyu Fillet Steak;170.0;g;6.4647;10.99;auto;100.0;;271.0
beef;beef steak;;aldi;beef steak;100% British Beef Wagyu Fillet Steak;170.0;g;6.4647;10.99;auto;100.0;shop_sku;271.0
beef;beef stew meat;;aldi;beef steak;100% British Beef Wagyu Fillet Steak;170.0;g;6.4647;10.99;auto;88.9;shop_sku;271.0
beef broth;beef broth;chicken stock;aldi;chicken stock cubes;Chicken Stock Cubes;120.0;g;0.575;0.69;repair;100.0;;7.0
beef broth;beef stock;chicken stock;aldi;chicken stock cubes;Chicken Stock Cubes;120.0;g;0.575;0.69;repair;100.0;shop_sku;7.0
