skladnik_z_przepisu;produkt_sklepowy;oryginalna_nazwa;pkg;jednostka;cena_per_100;cena_pkg;sklep;fuzzy_score;kcal;bialko_g;tluszcz_g;wegle_g
Dijon mustard;dijon mustard;Dijon Mustard;200.0;g;0.24;0.49;aldi;96.0;66.0;4.4;3.3;5.8
almond;whole almonds;Whole Almonds;200.0;g;0.84;1.69;aldi;100.0;579.0;21.2;49.9;21.6
andouille sausage;sausages;Quorn Sausages;;;0;2.35;aldi;100.0;310.0;16.0;26.0;2.0
apple;apple;Large Bramley Apple;1;pcs;0;0.59;aldi;100.0;52.0;0.3;0.2;13.8
apple cider;apple cider vinegar;Organic Apple Cider Vinegar;;;0;2.19;aldi;100.0;21.0;0.0;0.0;0.9
apple cider vinegar;apple cider vinegar;Organic Apple Cider Vinegar;;;0;2.19;aldi;100.0;21.0;0.0;0.0;0.9
applesauce;apple sauce;Bramley Apple Sauce;;;0;0.65;aldi;100.0;68.0;0.2;0.1;17.7
avocado;avocado;Avocado;500.0;g;0.29;1.45;aldi;100.0;160.0;2.0;14.7;8.5
avocado oil;avocado;Avocado;500.0;g;0.29;1.45;aldi;100.0;160.0;2.0;14.7;8.5
avocado oil spray;avocado;Avocado;500.0;g;0.29;1.45;aldi;100.0;160.0;2.0;14.7;8.5
baby corn;corn;Baby Corn;145.0;g;0.75;1.09;aldi;100.0;86.0;3.3;1.4;18.7
baby red potatoes;red potatoes;British Red Potatoes;2500.0;g;0.08;1.95;aldi;100.0;70.0;1.9;0.1;15.9
baby spinach;spinach;British Baby Spinach;450.0;g;0.35;1.59;aldi;100.0;23.0;2.9;0.4;3.6
bacon;bacon lardons;Smoked Bacon Lardons;200.0;g;0.9;1.79;aldi;100.0;541.0;37.0;42.0;1.4
baking powder;baking powder;Baking Powder;200.0;g;0.33;0.65;aldi;100.0;53.0;0.0;0.0;27.8
balsamic vinegar;balsamic vinegar of modena;Balsamic Vinegar of Modena;;;0;1.49;aldi;100.0;88.0;0.5;0.0;17.0
banana;banana;Banana;1;pcs;0;0.16;aldi;100.0;89.0;1.1;0.3;22.8
basil;basil;Basil;;;0;0.75;aldi;100.0;44.0;4.9;0.6;5.1
basmati rice;basmati rice;Basmati Rice;1000;g;0.18;1.79;aldi;100.0;357.0;7.1;0.7;79.0
