skladnik_z_przepisu;produkt_sklepowy;oryginalna_nazwa;pkg;jednostka;zl_per_100;cena_pkg;sklep;fuzzy_score;kcal;bialko_g;tluszcz_g;wegle_g
ananas;ananas;Ananas;1500.0;g;0.8;11.98;biedronka;100.0;50.0;0.5;0.1;13.1
arbuz;arbuz;Arbuz Owoce  Auchan na wagę ok. 4 kg;;;0.8;31.96;auchan;100.0;30.0;0.6;0.2;7.6
awokado;awokado;Awokado Hass 1 szt.;1.0;pcs;0.0;6.99;biedronka;100.0;160.0;2.0;14.7;8.5
bakłażan;bakłażan;Bakłażan;300.0;g;2.0;6.0;biedronka;100.0;25.0;1.0;0.2;5.9
banan;banan;Banan;1000.0;g;0.7;6.99;biedronka;100.0;89.0;1.1;0.3;22.8
bazylia;bazylia;BIO Bazylia   Pewni Dobrego sztuka;100.0;g;7.99;7.99;auchan;100.0;44.0;4.9;1.0;5.1
boczek;boczek rolowany;Boczek rolowany na Grill Auchan 300 g;300.0;g;5.76;17.29;auchan;100.0;541.0;37.0;42.0;1.4
borówka;borówka;Borówka Amerykańska  Owoce  Auchan 250 g;250.0;g;6.8;16.99;auchan;100.0;57.0;0.7;0.3;14.5
borówki;borówki amerykańska;Borówki amerykańska Owoce  Auchan 250 g;250.0;g;6.92;17.29;auchan;100.0;57.0;0.7;0.3;14.5
brokuł;brokuł;Brokuł 1 szt.;500.0;g;1.2;5.99;biedronka;100.0;34.0;2.8;0.4;6.6
brokuly;brokuły;Brokuły różyczki Hortex 450 g;450.0;g;2.31;10.38;auchan;85.7;34.0;2.8;0.4;6.6
brukselka;brukselka mrożona;Brukselka mrożona Auchan 450 g;450.0;g;1.28;5.75;auchan;100.0;41.0;3.8;0.4;7.9
brzoskwinia;brzoskwinia;Brzoskwinia;220.0;g;2.0;4.4;biedronka;100.0;39.0;0.9;0.3;9.5
bulion wolowy;bulion;Winiary Bulion Drobiowy 160 g;160.0;g;4.81;7.69;biedronka;100.0;4.0;0.5;0.1;0.4
bulion drobiowy;bulion drobiowy;Bulion drobiowy Winiary 160 g;160.0;g;4.99;7.98;auchan;100.0;4.0;0.5;0.1;0.4
bulion warzywny;bulion warzywny;Winiary Bulion warzywny 160 g;160.0;g;4.81;7.69;biedronka;100.0;4.0;0.2;0.1;0.7
burak;burak podłużny;Burak podłużny Warzywa Auchan 800 g;800.0;g;0.65;5.19;auchan;100.0;43.0;1.6;0.2;9.6
buraki;buraki;Buraki Warzywa Auchan 1 kg;1000.0;g;0.3;2.99;auchan;100.0;43.0;1.6;0.2;9.6
bułka;bułka poranna;Bułka poranna 65 g;65.0;g;1.28;0.83;biedronka;100.0;265.0;9.0;3.2;49.0
cebula;cebula;Cebula Warzywa Auchan na wagę ok. 1 kg;;;0.33;3.28;auchan;100.0;40.0;1.1;0.1;9.3
cebula biała;cebula biała;Cebula biała Warzywa Auchan na wagę ok. 500 g;;;0.8;4.0;auchan;100.0;40.0;1.1;0.1;9.3
