skladnik_z_przepisu;produkt_sklepowy;oryginalna_nazwa;pkg;jednostka;cena_per_100;cena_pkg;sklep;fuzzy_score;kcal;bialko_g;tluszcz_g;wegle_g
almond;almond mono lolly;Almond Mono Lolly;;;0.0;1.99;aldi;100.0;;;;
apple;apple;Large Bramley Apple;1;pcs;0.0;0.59;aldi;100.0;52.0;0.3;0.2;13.8
apple cider;apple cider vinegar;Organic Apple Cider Vinegar;;;0.0;2.19;aldi;100.0;21.0;0.0;0.0;0.9
applesauce;apple sauce;Bramley Apple Sauce;;;0.0;0.65;aldi;100.0;;;;
avocado;avocado;Avocado;500.0;g;0.29;1.45;aldi;100.0;160.0;2.0;14.7;8.5
bacon;bacon lardons;Smoked Bacon Lardons;200.0;g;0.9;1.79;aldi;100.0;;;;
baking powder;baking powder;Baking Powder;200.0;g;0.33;0.65;aldi;100.0;53.0;0.0;0.0;27.7
balsamic vinegar;balsamic vinegar of modena;Balsamic Vinegar of Modena;;;0.0;1.49;aldi;100.0;;;;
banana;banana;Banana;1;pcs;0.0;0.16;aldi;100.0;89.0;1.1;0.3;22.8
basil;basil;Basil;;;0.0;0.75;aldi;100.0;23.0;3.2;0.6;2.7
basmati rice;basmati rice;Basmati Rice;1000;g;0.18;1.79;aldi;100.0;357.0;7.1;0.7;79.0
bay leaf;bay leaf;Bay Leaf;;;0.0;0.49;aldi;100.0;313.0;7.6;8.4;75.0
bbq sauce;bbq sauce;BBQ Sauce;;;0.0;0.75;aldi;100.0;135.0;0.8;0.6;32.0
beef broth;beef;British Diced Beef;700.0;g;1.08;7.59;aldi;100.0;250.0;26.0;15.0;0.0
beef sirloin;beef sirloin steak;100% British Beef Wagyu Sirloin Steak;227.0;g;3.96;8.99;aldi;100.0;;;;
beef;beef steak;100% British Beef Wagyu Fillet Steak;170.0;g;6.46;10.99;aldi;100.0;271.0;26.0;19.0;0.0
berries;berries squash;Double Strength Cherries & Berries Squash;;;0.0;0.89;aldi;100.0;;;;
black beans;black beans/green lentils;Tinned Black Beans/Green Lentils;398.0;g;0.12;0.49;aldi;100.0;;;;
black olive;black olives with feta;Pitted Green & Black Olives With Feta;;;0.0;1.99;aldi;100.0;;;;
black pepper;black pepper;Black Pepper & Paprika Mini Roule Cheese;100.0;g;1.49;1.49;aldi;100.0;251.0;10.4;3.3;64.0
blackberries;blackberries;Wonky Blackberries;150.0;g;1.26;1.89;aldi;100.0;43.0;1.4;0.5;9.6
blueberries;blueberries;Blueberries;150.0;g;0.79;1.19;aldi;100.0;57.0;0.7;0.3;14.5
blueberry;blueberry fruit;Blueberry Fruit & Grain Bars 6 Pack;;;0.0;1.15;aldi;100.0;;;;
broccoli;broccoli;British Broccoli;361.0;g;0.22;0.79;aldi;100.0;34.0;2.8;0.4;6.6
broccoli florets;broccoli florets;Broccoli Florets;1000;g;0.12;1.19;aldi;100.0;34.0;2.8;0.4;6.6
brown rice;brown rice;Brown Rice;1000;g;0.14;1.39;aldi;100.0;111.0;2.6;0.9;23.0
butternut squash;butternut squash;Butternut Squash & Pine Nut Girasoli;250.0;g;1.0;2.49;aldi;100.0;45.0;1.0;0.1;11.7
butter;buttery;Flora Buttery;450.0;g;0.44;1.99;aldi;92.3;;;;
white button mushroom;button mushrooms;British Baby Button Mushrooms;200.0;g;0.47;0.95;aldi;96.8;;;;
cajun seasoning;cajun seasoning;Cajun Seasoning;;;0.0;0.69;aldi;100.0;310.0;12.0;10.0;50.0
carrot;carrot swede mash;Carrot & Swede Mash;450.0;g;0.3;1.35;aldi;100.0;;;;
cabbage and carrots;carrots;British Wonky Carrots;1491.0;g;0.05;0.79;aldi;100.0;41.0;0.9;0.2;9.6
cashew;cashew nuts;Cashew Nuts;200.0;g;0.84;1.69;aldi;100.0;553.0;18.2;43.8;30.2
cashews;cashews roasted and salted;Cashews Roasted and Salted;200.0;g;0.99;1.99;aldi;100.0;;;;
cauliflower;cauliflower;British Cauliflower;1;pcs;0.0;1.19;aldi;100.0;25.0;1.9;0.3;5.0
cayenne;cayenne pepper;Cayenne Pepper;;;0.0;0.65;aldi;100.0;318.0;12.0;17.3;56.6
celery;celery;Celery;1;pcs;0.0;0.75;aldi;100.0;16.0;0.7;0.2;3.0
cheese;cheese select;Italian Meat & Cheese Select;;;0.0;1.89;aldi;100.0;;;;
cheese stick;cheese slices 2 pack;Puff Pastry Ham & Cheese Slices 2 Pack;;;0.0;1.65;aldi;87.0;;;;
