ui_name;ingredient;alias;shop;generic_name;original_name;package_weight;unit;price_per_100;price_package;match_type;fuzzy_score;dedup;kcal
ananas;ananas;;biedronka;ananas;Ananas;1500.0;g;0.7987;11.98;auto;100.0;;50.0
arbuz;arbuz;;auchan;arbuz;Arbuz Owoce  Auchan na wagę ok. 4 kg;100.0;g;0.799;31.96;auto;100.0;;30.0
awokado;awokado;;biedronka;awokado;Awokado Hass 1 szt.;1.0;szt;6.99;6.99;auto;100.0;;160.0
bakłażan;bakłażan;;auchan;bakłażan;BIO Bakłażan Warzywa Auchan 500 g;500.0;g;1.998;9.99;auto;100.0;;25.0
banan;banan;;biedronka;banan;Banan;1000.0;g;0.699;6.99;auto;100.0;;89.0
banan;zielony banan;;biedronka;banan;Banan;1000.0;g;0.699;6.99;auto;100.0;shop_sku;89.0
bazylia;bazylia;;auchan;bazylia;Bazylia Auchan sztuka;250.0;g;2.796;6.99;auto;100.0;;44.0
bazylia;bazylia tajska;;auchan;bazylia;Bazylia Auchan sztuka;250.0;g;2.796;6.99;auto;100.0;shop_sku;44.0
bazylia;bazylia suszona;;auchan;bazylia suszona;Bazylia suszona Auchan 10 g;10.0;g;12.9;1.29;auto;100.0;canonical_name;233.0
biała fasola;biała fasola;;auchan;fasola biała;Fasola biała konserwowa Auchan 400 g;240.0;g;1.2458;2.99;auto;100.0;;139.0
białko jaja;białko jaja;;auchan;jaja;Jaja ekologiczne Pewni Dobrego 10 sztuk;10.0;szt;1.599;15.99;auto;100.0;;143.0
białko jaja;jajka;;auchan;jaja;Jaja ekologiczne Pewni Dobrego 10 sztuk;10.0;szt;1.599;15.99;auto;88.9;shop_sku;143.0
boczek;boczek;;auchan;boczek;Boczek wieprzowy bez kości ekstra VAC Auchan na wagę ok. 1 kg;100.0;g;2.098;20.98;auto;100.0;;541.0
borówki;borówka;;auchan;borówka;Borówka Amerykańska  Owoce  Auchan 250 g;250.0;g;5.196;12.99;auto;100.0;;57.0
borówki;borówki;;auchan;borówki amerykańska;Borówki amerykańska Owoce  Auchan 250 g;250.0;g;5.516;13.79;auto;100.0;canonical_name;57.0
brokuł;brokuł;;biedronka;brokuł;Brokuł 1 szt.;500.0;g;1.198;5.99;auto;100.0;;34.0
brokuły;brokuly;;auchan;brokuły;Brokuły różyczki Hortex 450 g;450.0;g;2.3067;10.38;auto;85.7;;34.0
brokuły;brokuły;;auchan;brokuły;Brokuły różyczki Hortex 450 g;450.0;g;2.3067;10.38;auto;100.0;shop_sku;34.0
brukselka;brukselka;;auchan;brukselka mrożona;Brukselka mrożona Auchan 450 g;450.0;g;1.2778;5.75;auto;100.0;;41.0
brzoskwinia;brzoskwinia;;biedronka;brzoskwinia;Brzoskwinia;220.0;g;2.0;4.4;auto;100.0;;39.0
brązowy cukier;brązowy cukier;cukier trzcinowy;auchan;cukier trzcinowy;Cukier trzcinowy Diamant 1 kg;1000.0;g;0.938;9.38;auto;100.0;;387.0
brązowy cukier;cukier trzcinowy;;auchan;cukier trzcinowy;Cukier trzcinowy Diamant 1 kg;1000.0;g;0.938;9.38;auto;100.0;shop_sku;387.0
brązowy ryż;brązowy ryż;ryż brązowy;auchan;ryż brązowy;Ryż brązowy długoziarnisty Auchan 4 x 100 g;400.0;g;0.8225;3.29;auto;100.0;;111.0
brązowy ryż;ryż brązowy;;auchan;ryż brązowy;Ryż brązowy długoziarnisty Auchan 4 x 100 g;400.0;g;0.8225;3.29;auto;100.0;shop_sku;111.0
brązowy ryż;ryż brązowy błyskawiczny;;auchan;ryż brązowy;Ryż brązowy długoziarnisty Auchan 4 x 100 g;400.0;g;0.8225;3.29;auto;100.0;shop_sku;111.0
bulion drobiowy;bulion drobiowy;;auchan;bulion drobiowy bez oleju palmowego;Bulion drobiowy bez oleju palmowego Auchan 100 g;100.0;g;3.49;3.49;auto;100.0;;4.0
bulion warzywny;bulion warzywny;;biedronka;bulion warzywny;Winiary Bulion warzywny 160 g;160.0;g;4.8063;7.69;auto;100.0;;4.0
bulion wolowy;bulion wolowy;;biedronka;bulion;Winiary Bulion Drobiowy 160 g;160.0;g;4.8063;7.69;auto;100.0;;4.0
bulion wolowy;bulion wołowy;;biedronka;bulion;Winiary Bulion Drobiowy 160 g;160.0;g;4.8063;7.69;auto;100.0;shop_sku;4.0
burak;buraki;;auchan;buraki;Buraki Warzywa Auchan 1 kg;1000.0;g;0.299;2.99;auto;100.0;;43.0
burak;burak;;auchan;burak podłużny;Burak podłużny Warzywa Auchan 800 g;800.0;g;0.6488;5.19;auto;100.0;canonical_name;43.0
bułka;bułka;;biedronka;bułka poranna;Bułka poranna 65 g;65.0;g;1.2769;0.83;auto;100.0;;272.0
bułka;bułka śniadaniowa;;biedronka;bułka śniadaniowa z ziarnami;Bułka śniadaniowa z ziarnami 80 g;80.0;g;1.6875;1.35;auto;100.0;canonical_name;272.0
cebula;cebula;;auchan;cebula;Cebula Pewni Dobrego 1 kg;1000.0;g;0.399;3.99;auto;100.0;;40.0
cebula;cebula granulowana;;auchan;cebula;Cebula Pewni Dobrego 1 kg;1000.0;g;0.399;3.99;auto;100.0;shop_sku;40.0
cebula;cebula w proszku;;auchan;cebula;Cebula Pewni Dobrego 1 kg;1000.0;g;0.399;3.99;auto;100.0;shop_sku;40.0
cebula;cebula czerwona;;auchan;cebula czerwona;Cebula czerwona Warzywa Auchan na wagę ok. 500 g;100.0;g;0.459;2.3;auto;100.0;canonical_name;40.0
cebula;cebula żółta;;biedronka;cebula żółta;Cebula żółta 1 kg;1000.0;g;0.499;4.99;auto;100.0;canonical_name;40.0
cebula;cebula biała;;auchan;cebula biała;Cebula biała Warzywa Auchan na wagę ok. 500 g;100.0;g;0.799;4.0;auto;100.0;canonical_name;40.0
cebula;cebula słodka;;auchan;cebula słodka tuba;Cebula słodka tuba Warzywa Auchan 600 g;600.0;g;1.9983;11.99;auto;100.0;canonical_name;40.0
chili;chili;;auchan;chili mieszanka przypraw;Chili mieszanka przypraw Kotányi 35 g;35.0;g;21.8286;7.64;auto;100.0;;282.0
chleb;chleb;;auchan;chleb pszenny;Chleb pszenny Pewni Dobrego 300 g;300.0;g;1.3967;4.19;auto;100.0;;265.0
chorizo sojowe;chorizo sojowe;;auchan;chorizo;Chorizo picante extra Pewni Dobrego 280 g;280.0;g;6.7821;18.99;auto;100.0;;455.0
ciecierzyca;ciecierzyca;;auchan;ciecierzyca;Ciecierzyca Auchan 400 g;400.0;g;1.2375;4.95;auto;100.0;;139.0
cukier;cukier;;auchan;cukier;Cukier drobny Auchan 750 g;750.0;g;1.2653;9.49;auto;100.0;;387.0
cukier;cukier brązowy;;auchan;cukier;Cukier drobny Auchan 750 g;750.0;g;1.2653;9.49;auto;100.0;shop_sku;387.0
cukier;cukier kokosowy;;auchan;cukier;Cukier drobny Auchan 750 g;750.0;g;1.2653;9.49;auto;100.0;shop_sku;387.0
cukier;cukier palmowy;;auchan;cukier;Cukier drobny Auchan 750 g;750.0;g;1.2653;9.49;auto;100.0;shop_sku;387.0
cukier puder;cukier puder;;auchan;cukier puder;Cukier puder Polski Cukier 500 g;500.0;g;1.498;7.49;auto;100.0;;389.0
cukinia;cukinia;;biedronka;cukinia;Cukinia;400.0;g;1.3;5.2;auto;100.0;;17.0
curry;curry;;biedronka;curry;Kamis Curry 20 g;20.0;g;12.45;2.49;auto;100.0;;325.0
curry;curry w proszku;;biedronka;curry;Kamis Curry 20 g;20.0;g;12.45;2.49;auto;100.0;shop_sku;325.0
cynamon;cynamon;;auchan;cynamon mielony;Cynamon mielony Auchan 15 g;15.0;g;8.6;1.29;auto;100.0;;247.0
czarna fasola;czarna fasola;;auchan;fasola czarna;Fasola czarna   Dawtona 400 g;240.0;g;1.4083;3.38;auto;100.0;;132.0
czarna fasola;fasola czarna;;auchan;fasola czarna;Fasola czarna   Dawtona 400 g;240.0;g;1.4083;3.38;auto;100.0;shop_sku;132.0
czarny sezam;czarny sezam;;auchan;sezam czarny;Sezam czarny Makar 500 g;500.0;g;2.85;14.25;auto;100.0;;573.0
czekolada;czekolada;;auchan;czekolada deserowa;BIO Czekolada deserowa Pewni Dobrego 200 g;200.0;g;7.995;15.99;auto;100.0;;546.0
